word,meaning,level
abandon,放弃,六级
ability,能力,六级
absent,缺席的,六级
absorb,吸收,六级
abstract,抽象的,六级
abundant,丰富的,六级
academic,学术的,六级
accelerate,加速,六级
access,通道；访问,六级
accident,事故,六级
accompany,陪伴,六级
accomplish,完成,六级
according,根据,六级
account,账户；解释,六级
accumulate,积累,六级
accurate,准确的,六级
accuse,指责,六级
achieve,实现,六级
acknowledge,承认,六级
acquire,获得,六级
active,积极的,六级
actual,实际的,六级
adapt,适应,六级
addict,沉溺；上瘾,六级
addition,增加,六级
address,地址；演讲,六级
adequate,充足的,六级
adjust,调整,六级
admire,钦佩,六级
admit,承认,六级
adopt,采用；收养,六级
advance,前进；进步,六级
advantage,优势,六级
adventure,冒险,六级
advertise,做广告,六级
advice,建议,六级
affect,影响,六级
afford,负担得起,六级
afraid,害怕的,六级
agency,机构,六级
agenda,议程,六级
aggressive,侵略的；有进取心的,六级
agree,同意,六级
agriculture,农业,六级
ahead,在前,六级
aid,援助,六级
aim,目标,六级
airline,航空公司,六级
alarm,警报,六级
album,相册,六级
alcohol,酒精,六级
alert,警觉的,六级
alien,外星人；外国的,六级
alike,相似的,六级
alive,活着的,六级
allow,允许,六级
almost,几乎,六级
alone,单独的,六级
along,沿着,六级
already,已经,六级
also,也,六级
alter,改变,六级
alternative,替代的,六级
although,尽管,六级
altitude,高度,六级
amaze,使惊奇,六级
ambition,雄心,六级
amount,数量,六级
amuse,逗笑,六级
analyse,分析,六级
ancestor,祖先,六级
ancient,古代的,六级
anger,愤怒,六级
angle,角度,六级
animal,动物,六级
anniversary,周年纪念,六级
announce,宣布,六级
annual,每年的,六级
another,另一个,六级
answer,回答,六级
anxiety,焦虑,六级
anxious,焦虑的,六级
anybody,任何人,六级
apart,分离的,六级
apology,道歉,六级
apparent,明显的,六级
appeal,呼吁；吸引,六级
appear,出现,六级
appetite,胃口,六级
applaud,鼓掌,六级
apply,应用；申请,六级
appoint,任命,六级
appreciate,欣赏；感激,六级
approach,接近；方法,六级
appropriate,适当的,六级
approve,批准；赞成,六级
